sampleID,landing,stormID,stormName,stormYear,category,landingLat,landingLon,basin,continent,ISO3,region,cellCenterLat,cellCenterLon,damage,windSpeed,windSpeed5day,travelSpeed,rainfall,coastalSlope,coastDist
1,Alex2010_2010176N16278_2010062700,2010176N16278,Alex,2010,c2,17.5,-88.2,NAt,North America,BLZ,Central America,17.40232283,-88.2601241,0.191269706,79.54002829,49.68393391,18.42682406,395.9760066,0.000502364,5
2,Alex2010_2010176N16278_2010062700,2010176N16278,Alex,2010,c2,17.5,-88.2,NAt,North America,BLZ,Central America,17.24422037,-87.91427061,0.178429175,62.85882037,49.06559396,18.42682406,515.7834916,-8.43E-05,10
3,Alex2010_2010176N16278_2010062700,2010176N16278,Alex,2010,c2,17.5,-88.2,NAt,North America,BLZ,Central America,17.37537366,-88.27359883,0.214821305,80.28539687,49.69361702,18.42682406,231.4744138,-8.43E-05,5
4,Alex2010_2010176N16278_2010062700,2010176N16278,Alex,2010,c2,17.5,-88.2,NAt,North America,BLZ,Central America,17.32147475,-88.27359883,0.307912294,77.53477059,49.48135199,18.42682406,211.480381,0.000152747,5
5,Alex2010_2010176N16278_2010062700,2010176N16278,Alex,2010,c2,17.5,-88.2,NAt,North America,BLZ,Central America,17.25859312,-88.29156513,0.440865819,72.0514175,49.07310156,18.42682406,215.6689844,0.000802221,5
6,Alex2010_2010176N16278_2010062700,2010176N16278,Alex,2010,c2,17.5,-88.2,NAt,North America,BLZ,Central America,17.24062728,-88.32450228,0.260534107,69.63544699,48.87692484,18.42682406,577.0828182,0.000668123,5
7,Alex2010_2010176N16278_2010062700,2010176N16278,Alex,2010,c2,17.5,-88.2,NAt,North America,BLZ,Central America,17.18373242,-88.31850849,0.24092082,65.61715181,48.57286616,18.42682406,712.8905213,0.000310369,5
8,Alex2010_2010176N16278_2010062700,2010176N16278,Alex,2010,c2,17.5,-88.2,NAt,North America,BLZ,Central America,17.13282799,-88.29755274,0.152024682,62.51806143,48.34209277,18.42682406,353.0692659,0.000784289,5
9,Alex2010_2010176N16278_2010062700,2010176N16278,Alex,2010,c2,17.5,-88.2,NAt,North America,BLZ,Central America,17.07893006,-88.27359883,0.299246869,59.37551569,48.1048377,18.42682406,125.8622646,0.000503073,5
10,Alex2010_2010176N16278_2010062700,2010176N16278,Alex,2010,c2,17.5,-88.2,NAt,North America,BLZ,Central America,17.01604775,-88.2466485,0.266384159,55.94494274,47.8364265,18.42682406,115.6769962,0.000418098,5
11,Alex2010_2010176N16278_2010062700,2010176N16278,Alex,2010,c2,17.5,-88.2,NAt,North America,BLZ,Central America,16.97113108,-88.23766621,0.167874371,53.65593857,47.63779364,18.42682406,366.2690927,0.000809764,5
12,Alex2010_2010176N16278_2010062700,2010176N16278,Alex,2010,c2,17.5,-88.2,NAt,North America,BLZ,Central America,18.17487471,-87.84240749,0.239628549,63.11478189,47.4556238,18.42682406,116.4460786,0.043253036,5
13,Alex2010_2010176N16278_2010062700,2010176N16278,Alex,2010,c2,17.5,-88.2,NAt,North America,BLZ,Central America,16.71960394,-88.29156513,0.326449241,43.66032837,46.50419861,18.42682406,102.3225818,0.000471808,5
14,Alex2010_2010176N16278_2010062700,2010176N16278,Alex,2010,c2,17.5,-88.2,NAt,North America,BLZ,Central America,16.62977242,-88.36343035,0.146292903,40.8219205,46.06868937,18.42682406,128.6507318,0.00051947,5
15,Amphan2020_2020136N10088_2020052012,2020136N10088,Amphan,2020,c4,22.05,88.35,NI,Asia,IND,Southern Asia,21.64835609,88.32620214,0.490543618,111.5648084,34.90158007,30.56350803,407.6580547,0.001042502,5
16,Amphan2020_2020136N10088_2020052012,2020136N10088,Amphan,2020,c4,22.05,88.35,NI,Asia,IND,Southern Asia,21.84283681,88.70783641,0.267355115,112.6020458,33.137825,30.56350803,795.6528983,0.000521889,5
17,Amphan2020_2020136N10088_2020052012,2020136N10088,Amphan,2020,c4,22.05,88.35,NI,Asia,IND,Southern Asia,21.83095398,88.75862822,0.283800203,108.4177203,32.85782472,30.56350803,924.4321551,0.000783023,5
18,Amphan2020_2020136N10088_2020052012,2020136N10088,Amphan,2020,c4,22.05,88.35,NI,Asia,IND,Southern Asia,22.13644454,88.92807412,0.256956684,100.6176633,31.79491827,30.56350803,117.9836409,0.00153193,10
19,Belna2019_2019336S06055_2019120918,2019336S06055,Belna,2019,c3,-16.5,44.8,SI,Africa,MDG,Eastern Africa,-16.24856766,44.79384421,0.206360932,94.70000595,28.84508215,16.166326,99.40198092,0.000724014,5
20,Belna2019_2019336S06055_2019120918,2019336S06055,Belna,2019,c3,-16.5,44.8,SI,Africa,MDG,Eastern Africa,-16.21263448,44.73096214,0.220933739,85.52647744,28.07853093,16.166326,52.01201761,0.000296377,5
21,Belna2019_2019336S06055_2019120918,2019336S06055,Belna,2019,c3,-16.5,44.8,SI,Africa,MDG,Eastern Africa,-16.07788353,45.28791762,0.340502643,65.48522943,27.4043028,16.166326,77.89961174,0.001483372,5
22,Belna2019_2019336S06055_2019120918,2019336S06055,Belna,2019,c3,-16.5,44.8,SI,Africa,MDG,Eastern Africa,-16.14076925,45.30588392,0.228273574,67.19849939,27.00531849,16.166326,0,-0.000596035,5
23,Belna2019_2019336S06055_2019120918,2019336S06055,Belna,2019,c3,-16.5,44.8,SI,Africa,MDG,Eastern Africa,-16.27848784,44.47347727,0.146888901,71.3188374,26.2934659,16.166326,105.5752869,0.002046884,5
24,Belna2019_2019336S06055_2019120918,2019336S06055,Belna,2019,c3,-16.5,44.8,SI,Africa,MDG,Eastern Africa,-16.23059914,44.46146756,0.287389579,66.54570443,25.92751109,16.166326,92.59494592,0.000586638,5
25,Belna2019_2019336S06055_2019120918,2019336S06055,Belna,2019,c3,-16.5,44.8,SI,Africa,MDG,Eastern Africa,-16.19017775,44.96003356,0.319262239,76.76150128,28.158171,16.166326,98.05081811,0.001623267,5
26,Belna2019_2019336S06055_2019120918,2019336S06055,Belna,2019,c3,-16.5,44.8,SI,Africa,MDG,Eastern Africa,-16.18568461,44.98249042,0.44916252,91.32109765,28.08311974,16.166326,88.5060482,0.001364239,5
27,Beryl2018_2018186N10325_2018071012,2018186N10325,Beryl,2018,c1,19.3,-71.6,NAt,North America,DOM,Caribbean,19.69302793,-71.72663331,0.205067074,36.66385402,2.398374969,21.79167737,17.22609757,-0.001545946,5
28,Beta2005_2005300N10279_2005103012,2005300N10279,Beta,2005,c3,12.9,-83.5,NAt,North America,NIC,Central America,13.01854497,-83.53049412,0.47221115,147.4925632,54.90738817,11.46859285,126.3644714,0.000494053,5
29,Beta2005_2005300N10279_2005103012,2005300N10279,Beta,2005,c3,12.9,-83.5,NAt,North America,NIC,Central America,13.47668542,-83.54846043,0.320138681,77.24935458,48.22237843,11.46859285,364.5432422,0.000491974,5
30,Beta2005_2005300N10279_2005103012,2005300N10279,Beta,2005,c3,12.9,-83.5,NAt,North America,NIC,Central America,12.89278083,-83.53049412,0.356989149,63.43615187,46.7330163,11.46859285,124.5755712,0.001032549,5
31,Beta2005_2005300N10279_2005103012,2005300N10279,Beta,2005,c3,12.9,-83.5,NAt,North America,NIC,Central America,12.89278083,-83.53049412,0.356989149,74.54815187,46.7330163,11.46859285,124.5755712,0.000547447,5
32,Bondo2006_2006350S07071_2006122518,2006350S07071,Bondo,2006,c4,-16.3333,46.1667,SI,Africa,MDG,Eastern Africa,-15.93714908,46.34194573,0.210782332,87.68332702,40.87978534,22.03384145,257.5754303,-0.003358443,5
33,Bondo2006_2006350S07071_2006122518,2006350S07071,Bondo,2006,c4,-16.3333,46.1667,SI,Africa,MDG,Eastern Africa,-15.79940945,45.84487309,0.254950578,60.88067402,38.71582854,22.03384145,9.112192535,0.000889803,5
34,Bondo2006_2006350S07071_2006122518,2006350S07071,Bondo,2006,c4,-16.3333,46.1667,SI,Africa,MDG,Eastern Africa,-15.88924153,45.78199102,0.209560324,62.14495999,38.2019148,22.03384145,105.8511354,0.001853392,10
35,Bondo2006_2006350S07071_2006122518,2006350S07071,Bondo,2006,c4,-16.3333,46.1667,SI,Africa,MDG,Eastern Africa,-15.81737575,45.73707526,0.228768828,59.53283519,38.00907385,22.03384145,53.17234617,0.001775865,5
36,Bopha2012_2012331N03157_2012120400,2012331N03157,Bopha,2012,c4,7.825,125.9,WP,Asia,PHL,Southeastern Asia,7.556788022,126.5854508,0.631941454,69.39355957,33.10287727,36.64609644,158.2735214,0.112467667,5
37,Bopha2012_2012331N03157_2012120400,2012331N03157,Bopha,2012,c4,7.825,125.9,WP,Asia,PHL,Southeastern Asia,7.538821717,126.5854508,0.610518062,69.04539159,33.07608835,36.64609644,154.8943636,0.119667488,5
38,Bopha2012_2012331N03157_2012120400,2012331N03157,Bopha,2012,c4,7.825,125.9,WP,Asia,PHL,Southeastern Asia,8.221545405,126.378844,0.180559873,107.305816,32.61909892,36.64609644,494.5161857,0.003011279,5
39,Bopha2012_2012331N03157_2012120400,2012331N03157,Bopha,2012,c4,7.825,125.9,WP,Asia,PHL,Southeastern Asia,8.248494189,126.4057902,0.197733456,104.9864128,32.48360191,36.64609644,448.0814321,0.01262073,5
40,Carlos2011_2011045S14132_2011021600,2011045S14132,Carlos,2011,c1,-12.405,130.945,SI,Oceania,AUS,Australasia,-12.20613544,131.3734043,0.29464409,53.43944024,51.5796105,1.730146201,409.7887383,0.00029193,5
41,Carlos2011_2011045S14132_2011022018,2011045S14132,Carlos,2011,c1,-17.4,122.2,SI,Oceania,AUS,Australasia,-17.43434327,123.5311789,0.324903233,60.95451645,32.07395844,12.95658734,70.49704552,-0.000289021,5
42,Carlos2011_2011045S14132_2011022018,2011045S14132,Carlos,2011,c1,-17.4,122.2,SI,Oceania,AUS,Australasia,-18.02723135,122.3993016,0.372233543,64.24007548,33.78023741,12.95658734,95.05384648,0.001261417,5
43,Carlos2011_2011045S14132_2011022018,2011045S14132,Carlos,2011,c1,-17.4,122.2,SI,Oceania,AUS,Australasia,-16.41026384,123.2077854,0.214704205,40.07941257,31.76913351,12.95658734,55.23130274,0.00056222,5
44,Carlos2011_2011045S14132_2011022300,2011045S14132,Carlos,2011,c1,-22.1,114.1,SI,Oceania,AUS,Australasia,-22.23134762,114.485144,0.336723882,85.05996814,44.64855648,16.43892117,161.8372221,0.000412341,5
45,Carlos2011_2011045S14132_2011022300,2011045S14132,Carlos,2011,c1,-22.1,114.1,SI,Oceania,AUS,Australasia,-22.30321211,114.4402282,0.354296428,85.28619294,44.5036091,16.43892117,83.27106039,0.00023875,5
46,Carlos2011_2011045S14132_2011022300,2011045S14132,Carlos,2011,c1,-22.1,114.1,SI,Oceania,AUS,Australasia,-22.42298539,114.3863463,0.318949988,83.50156917,44.19833007,16.43892117,229.0166448,-0.000359555,5
47,Carlos2011_2011045S14132_2011022300,2011045S14132,Carlos,2011,c1,-22.1,114.1,SI,Oceania,AUS,Australasia,-22.48287383,114.3983084,0.243365727,81.45834898,43.97565472,16.43892117,223.481428,-0.000692335,5
48,Carlos2015_2015162N12262_2015061709,2015162N12262,Carlos,2015,c1,19.3,-104.9,EP,North America,MEX,Central America,19.64811177,-105.2158251,0.215994533,30.80922753,17.31333413,16.41102978,42.10529806,0.025850775,5
49,Carlos2015_2015162N12262_2015061709,2015162N12262,Carlos,2015,c1,19.3,-104.9,EP,North America,MEX,Central America,19.15403875,-104.6049687,0.182996194,58.30772955,19.36424451,16.41102978,21.18239361,0.074142899,5
50,Carlos2015_2015162N12262_2015061709,2015162N12262,Carlos,2015,c1,19.3,-104.9,EP,North America,MEX,Central America,19.14505587,-104.5600549,0.287724422,55.21217659,19.04482279,16.41102978,6.812900253,0.060858631,5
51,Carlos2015_2015162N12262_2015061709,2015162N12262,Carlos,2015,c1,19.3,-104.9,EP,North America,MEX,Central America,18.87556064,-104.0030937,0.182862763,35.38756827,16.21327309,16.41102978,41.28630392,0.020288208,5
52,Chanchu2006_2006128N09138_2006051118,2006128N09138,Chanchu,2006,c3,12.425,124.6,WP,Asia,PHL,Southeastern Asia,12.29989529,125.3547669,0.262540571,71.69339991,32.63387339,18.82183143,866.650371,0.020459227,5
53,Chanchu2006_2006128N09138_2006051118,2006128N09138,Chanchu,2006,c3,12.425,124.6,WP,Asia,PHL,Southeastern Asia,12.6472418,125.0403519,0.360791397,82.03580416,32.24496935,18.82183143,446.4492529,0.017743722,5
54,Chanchu2006_2006128N09138_2006051118,2006128N09138,Chanchu,2006,c3,12.425,124.6,WP,Asia,PHL,Southeastern Asia,11.94056697,124.7349237,0.192992653,60.78499767,32.26630034,18.82183143,652.6137666,0.012726635,5
55,Chanchu2006_2006128N09138_2006051118,2006128N09138,Chanchu,2006,c3,12.425,124.6,WP,Asia,PHL,Southeastern Asia,12.13819599,125.4715399,0.302644664,47.10152515,33.11789149,18.82183143,193.6914935,5.20398329585609e-05,5
56,Chanchu2006_2006128N09138_2006051118,2006128N09138,Chanchu,2006,c3,12.425,124.6,WP,Asia,PHL,Southeastern Asia,11.8687014,124.8067866,0.193087124,56.85005301,32.02203683,18.82183143,176.1307297,0.016570327,5
57,Chanchu2006_2006128N09138_2006051118,2006128N09138,Chanchu,2006,c3,12.425,124.6,WP,Asia,PHL,Southeastern Asia,11.76090357,124.9864496,0.256314455,50.82008819,31.75138728,18.82183143,158.3640866,0.021934555,5
58,Chanchu2006_2006128N09138_2006051118,2006128N09138,Chanchu,2006,c3,12.425,124.6,WP,Asia,PHL,Southeastern Asia,11.57225707,124.8427192,0.190244585,47.44171739,31.13264447,18.82183143,332.7560153,0.015704051,5
59,Chanchu2006_2006128N09138_2006051118,2006128N09138,Chanchu,2006,c3,12.425,124.6,WP,Asia,PHL,Southeastern Asia,11.40157745,124.8966181,0.165214755,43.36102073,30.67339031,18.82183143,155.7795797,0.001806485,5
60,Chanchu2006_2006128N09138_2006051218,2006128N09138,Chanchu,2006,c3,12.975,121.2,WP,Asia,PHL,Southeastern Asia,13.80906242,121.4470874,0.267973309,54.82752278,37.31394254,14.41409199,96.5565015,0.108676739,5
61,Chedza2015_2015013S18038_2015011618,2015013S18038,Chedza,2015,c1,-20.55,44.95,SI,Africa,MDG,Eastern Africa,-19.85081177,44.44349922,0.256026482,84.08348058,56.97769285,25.5954741,252.3807318,0.00068693,5
62,Chedza2015_2015013S18038_2015011618,2015013S18038,Chedza,2015,c1,-20.55,44.95,SI,Africa,MDG,Eastern Africa,-19.81038647,44.43002384,0.19470557,83.37696564,56.97603102,25.5954741,585.8140383,-0.000597916,5
63,Chedza2015_2015013S18038_2015011618,2015013S18038,Chedza,2015,c1,-20.55,44.95,SI,Africa,MDG,Eastern Africa,-19.75199535,44.42553495,0.239477511,82.51250612,56.88427426,25.5954741,0,-0.000665966,5
64,Christine2013_2013360S12124_2013123018,2013360S12124,Christine,2013,c3,-21.1,117.05,SI,Oceania,AUS,Australasia,-20.72217721,116.9375447,0.198842507,88.84536301,58.08210864,15.76146201,14.33272706,-0.000745921,5
65,Christine2013_2013360S12124_2013123018,2013360S12124,Christine,2013,c3,-21.1,117.05,SI,Oceania,AUS,Australasia,-20.76067507,116.5679624,0.117074597,76.78988439,53.82467671,15.76146201,98.02985788,-3.55E-06,5
66,Christine2013_2013360S12124_2013123018,2013360S12124,Christine,2013,c3,-21.1,117.05,SI,Oceania,AUS,Australasia,-20.88387396,116.2548251,0.160401106,66.80833936,50.89612238,15.76146201,18.72263885,-0.001140409,5
67,Cindy2005_2005185N18273_2005070403,2005185N18273,Cindy,2005,c1,19,-87.6,NAt,North America,MEX,Central America,19.00132477,-87.78850857,0.255300849,39.63226142,21.55058373,18.38020727,29.90937355,0.113857256,10
68,Cindy2005_2005185N18273_2005070403,2005185N18273,Cindy,2005,c1,19,-87.6,NAt,North America,MEX,Central America,19.01928935,-87.79748978,0.188922693,39.61548793,21.56562494,18.38020727,57.97897088,0.113857256,15
69,Cindy2005_2005185N18273_2005070403,2005185N18273,Cindy,2005,c1,19,-87.6,NAt,North America,MEX,Central America,18.98335674,-87.81545997,0.195563612,39.48624195,21.48218127,18.38020727,88.94123921,0.080053055,15
