sampleID,landing,roiID,year,lon,lat,basin,ISO3,continent,totalDamageDuration,initialDamage,totalDamage,initialResistance,subsequentDamage,reactionTime,reactionRate,recoveryTime,recoveryRate,fullRecovery,windSpeed,trackDist,sideTrack,travelSpeed,rainfall,stormFreq,coastalSlope,coastDist,preEVI,patchSize,canopyHeight,nSpecies
4888,Tiffany2022_2022008S12148_2022010918,8,2021,141.6007908,-14.15998401,SP,AUS,Oceania,1,0.401088349,0.401088349,0.598911651,0,0,NA,1,0.589342403,Y,101.86,39380.56656,0,14.816,90.84363295,0.150000006,0.000248693,263.4601009,0.257677703,967449.8739,0.669291339,21
96,Anika2022_2022055S13129_2022022606,28,2021,122.3858269,-18.00926443,SI,AUS,Oceania,1,0.431074205,0.431074205,0.568925795,0,0,NA,1,0.498512453,Y,92.6,50767.33829,1,10.91705263,625.6454798,0.031256134,0.000576336,586.9587729,0.163992085,3795526.151,3.766437684,21
4896,Tiffany2022_2022008S12148_2022010918,99,2021,144.6370965,-14.36659653,SP,AUS,Oceania,1,0.33311803,0.33311803,0.66688197,0,0,NA,1,0.472678945,Y,101.86,33159.92218,1,14.816,183.3688423,0.025,0.001136073,762.1789518,0.337087101,966563.4032,0,21
4899,Tiffany2022_2022008S12148_2022010918,107,2021,145.0383439,-14.83671486,SP,AUS,Oceania,1,0.044342522,0.29123116,0.955657478,0.246888638,2,-0.123444319,1,0.470051055,Y,101.86,83355.39367,0,14.816,450.2950731,0.100000001,0.001485319,3685.074064,0.269401221,2893479.916,3.841623037,21
4895,Tiffany2022_2022008S12148_2022010918,98,2021,144.6191302,-14.45642806,SP,AUS,Oceania,1,0.37137885,0.37137885,0.62862115,0,0,NA,1,0.426852777,Y,101.86,41706.89151,1,14.816,180.2988128,0.025,0.001597338,242.3585256,0.261118739,966174.0602,0,21
4894,Tiffany2022_2022008S12148_2022010918,96,2021,144.4484503,-14.25879869,SP,AUS,Oceania,1,0.385769149,0.385769149,0.614230851,0,0,NA,1,0.371012448,Y,101.86,18532.25277,1,14.816,164.5708833,0.025,0.00227813,441.248264,0.370959015,967027.4786,0,21
4890,Tiffany2022_2022008S12148_2022010918,88,2021,144.196922,-14.33964707,SP,AUS,Oceania,1,0.151009238,0.244093586,0.848990762,0.093084348,2,-0.046542174,1,0.364920321,Y,101.86,15548.98705,1,14.816,149.1811694,0.025,1.81859171864433e-05,390.5226407,0.172349987,966679.7429,0,21
4887,Tiffany2022_2022008S12148_2022010918,2,2021,141.5019761,-13.9533715,SP,AUS,Oceania,1,0.199259181,0.199259181,0.800740819,0,0,NA,1,0.362744676,Y,101.86,60850.78017,0,14.816,91.53105918,0.025,0.000150354,3493.803735,0.363720859,968323.7642,9.161417323,21
108,Anika2022_2022055S13129_2022022606,111,2021,123.6524514,-17.00764346,SI,AUS,Oceania,1,0.019519051,0.254365013,0.980480949,0.234845962,1,-0.234845962,1,0.357933638,Y,92.6,34699.62348,1,10.91705263,156.334187,0,0.000205769,993.2052962,0.181498195,954129.0106,0,21
4905,Tiffany2022_2022008S12148_2022011118,96,2021,135.7527583,-15.12567285,SP,AUS,Oceania,1,0.257703609,0.257703609,0.742296391,0,0,NA,1,0.34832286,Y,92.6,64528.32287,1,22.84133333,144.095246,0.025,0.000434744,1038.27253,0.206696875,1926397.52,2.05108055,21
111,Anika2022_2022055S13129_2022022606,132,2021,123.7153335,-16.77408149,SI,AUS,Oceania,1,0,0.200907882,1,0.211422398,1,-0.211422398,1,0.318317546,Y,92.6,14804.54244,1,10.91705263,183.2872235,0,0.00143747,346.4709227,0.245227458,955310.7671,0.645669291,21
4903,Tiffany2022_2022008S12148_2022011118,75,2021,135.6269942,-15.04931614,SP,AUS,Oceania,1,0.177940668,0.177940668,0.822059332,0,0,NA,1,0.307309984,Y,92.6,51851.06413,1,22.84133333,55.18594663,0.025,0.000597937,315.7613097,0.22276112,963544.8757,0,21
4897,Tiffany2022_2022008S12148_2022010918,105,2021,144.9694729,-14.50433829,SP,AUS,Oceania,1,0.214089719,0.214089719,0.785910281,0,0,NA,1,0.30516573,Y,101.86,45630.31567,0,14.816,488.4003137,0.025,0.001566763,247.9577342,0.381421918,2897896.32,0,21
4902,Tiffany2022_2022008S12148_2022011118,7,2021,129.7430291,-15.2110129,SP,AUS,Oceania,1,0.2194489,0.2194489,0.7805511,0,0,NA,1,0.299930208,Y,92.6,83955.43086,0,22.84133333,173.8189559,0,-0.005037918,224.448662,0.118716826,962809.9071,0,21
103,Anika2022_2022055S13129_2022022606,84,2021,123.5536367,-16.63933458,SI,AUS,Oceania,1,0,0.208869058,1,0.262512318,1,-0.262512318,1,0.294770583,Y,92.6,8369.692034,0,10.91705263,559.4322111,0,-0.000774529,1135.482368,0.318911584,2867956.025,1.663612565,21
4893,Tiffany2022_2022008S12148_2022010918,95,2021,144.4215008,-14.28574815,SP,AUS,Oceania,1,0.282780358,0.282780358,0.717219642,0,0,NA,1,0.293375914,Y,101.86,22345.58183,1,14.816,170.3796519,0.025,0.001858916,807.7748523,0.299794949,966911.7806,6.413385827,21
98,Anika2022_2022055S13129_2022022606,33,2021,122.6044166,-16.96272746,SI,AUS,Oceania,1,0,0.149786942,1,0.212123652,1,-0.212123652,1,0.279425036,Y,92.6,29815.88396,1,10.91705263,448.4217098,0,-0.001028462,56.82382117,0.216609308,2863072.487,0.955439056,21
4900,Tiffany2022_2022008S12148_2022010918,110,2021,145.1626109,-14.84270376,SP,AUS,Oceania,3,0.156878653,0.19487458,0.843121347,0.037995927,2,-0.018997963,1,0.276673175,Y,101.86,87388.67738,0,14.816,304.873181,0.100000001,0.001607214,1130.253962,0.292065228,1928945.677,7.888015717,21
113,Anika2022_2022055S13129_2022022606,191,2021,124.2138985,-15.96559787,SI,AUS,Oceania,1,0.12217703,0.328066981,0.87782297,0.205889951,1,-0.205889951,1,0.267643035,Y,92.6,59507.91634,0,10.91705263,545.1793746,0.300000012,0.003839323,429.0329996,0.384908965,1918557.526,0.10805501,21
4889,Tiffany2022_2022008S12148_2022010918,54,2021,143.5591181,-13.82760736,SP,AUS,Oceania,1,0,0.206207957,1,0.344182043,2,-0.172091021,1,0.26674237,Y,101.86,79533.10083,0,14.816,173.1768744,0.150000006,0.002062885,1868.697017,0.328350241,968849.5331,11.4015748,21
4898,Tiffany2022_2022008S12148_2022010918,106,2021,144.9851929,-14.75624115,SP,AUS,Oceania,1,0.210613774,0.210613774,0.789386226,0,0,NA,1,0.261176865,Y,101.86,73627.52186,0,14.816,1185.805194,0.033775812,0.001937575,279.03409,0.300383944,7718710.522,4.352479136,21
4904,Tiffany2022_2022008S12148_2022011118,89,2021,135.6797698,-15.0818801,SP,AUS,Oceania,1,0.176873701,0.176873701,0.823126299,0,0,NA,1,0.252508872,Y,92.6,57023.96636,1,22.84133333,561.9256103,0.025,0.000709661,728.5371885,0.198632494,7707179.764,2.516936672,21
97,Anika2022_2022055S13129_2022022606,29,2021,122.3858269,-18.10358811,SI,AUS,Oceania,1,0.210884428,0.210884428,0.789115572,0,0,NA,1,0.250257382,Y,92.6,47334.37503,1,10.91705263,152.8505544,0.050000001,0.000294356,300.3675176,0.196063293,948372.432,0,21
124,Anika2022_2022055S13129_2022022606,439,2021,126.8324875,-13.96235465,SI,AUS,Oceania,1,0,0.181954454,1,0.313380063,5,-0.062676013,1,0.24720182,Y,92.6,31496.33353,0,10.91705263,200.7019955,0.125,8.13125695216907e-05,721.9929857,0.228640822,968286.0307,0,21
99,Anika2022_2022055S13129_2022022606,52,2021,123.1460259,-16.92679534,SI,AUS,Oceania,1,0,0.18909707,1,0.231742937,1,-0.231742937,1,0.226184767,Y,92.6,54567.52423,1,10.91705263,1359.056032,0,0.001730174,1894.372185,0.200478274,7636256.488,1.908734053,21
105,Anika2022_2022055S13129_2022022606,102,2021,123.6210107,-17.01662661,SI,AUS,Oceania,1,0,0.273152756,1,0.357841545,1,-0.357841545,1,0.207029952,Y,92.6,35317.71698,1,10.91705263,924.0527287,0,2.59699321047527e-05,1428.545033,0.29694296,5724499.429,5.579188482,21
100,Anika2022_2022055S13129_2022022606,60,2021,123.2976169,-17.13041362,SI,AUS,Oceania,1,0,0.200219444,1,0.306844994,1,-0.306844994,1,0.206838061,Y,92.6,57730.76341,1,10.91705263,971.7636056,0,0.000512197,2274.883835,0.235148307,5721198.261,4.287303665,21
106,Anika2022_2022055S13129_2022022606,103,2021,123.6284966,-17.20527258,SI,AUS,Oceania,1,0,0.200883235,1,0.294974514,1,-0.294974514,1,0.203075482,Y,92.6,56328.47551,1,10.91705263,405.3053137,0,-0.000162979,412.1411888,0.115636195,2859350.011,0,21
110,Anika2022_2022055S13129_2022022606,122,2021,123.6722141,-17.08669573,SI,AUS,Oceania,1,0,0.211321522,1,0.232919773,1,-0.232919773,1,0.200120239,Y,92.6,43728.59844,1,10.91705263,777.6973716,0,0.0003388,5013.437585,0.169577899,4768753.244,1.844461901,21
104,Anika2022_2022055S13129_2022022606,97,2021,123.607535,-17.11993243,SI,AUS,Oceania,1,0,0.210147045,1,0.31315662,1,-0.31315662,1,0.198244436,Y,92.6,46753.55267,1,10.91705263,589.2220594,0,0.000489441,673.1587252,0.290180093,3814220.796,2.720747296,21
107,Anika2022_2022055S13129_2022022606,108,2021,123.640474,-17.15736268,SI,AUS,Oceania,1,0,0.180174304,1,0.269779932,1,-0.269779932,1,0.194581621,Y,92.6,51095.50835,1,10.91705263,430.5602771,0,-6.01E-05,1291.082611,0.220426064,2860110.467,2.763089005,21
102,Anika2022_2022055S13129_2022022606,72,2021,123.4862629,-17.39841055,SI,AUS,Oceania,1,0,0.228117656,1,0.271556269,1,-0.271556269,1,0.19022537,Y,92.6,78683.37138,1,10.91705263,307.939303,0,0.000408081,796.0575925,0.260001248,1904232.789,0,21
