"sampleID","landing","roiID","year","lon","lat","basin","ISO3","continent","initialDamage","subsequentDamage","totalDamage","totalDamageDuration","initialResistance","reacttionTime","reactionRate","recoveryTime","recoveryRate","fullRecovery","windSpeed","proximityToStormTrack","sideToStormTrack","travelSpeed","accumulativeRainfall","stormFrequency","coastalSlope","ProximityToCoastline","pre-stormEVI","patchSize","canopyHeight","mumberOfSpecies"
"1","Abigail2001_2001054S15155_2001022406",140,2001,145.43659706794,-16.2889912371348,"SP","AUS","Oceania",0.0389591439787994,-0.217864323366021,0.25682346734482,3,0.961040856021201,3,-0.0726214411220069,1,0.28357866905677,"Y",120.38,-28193.4882376771,0,14.9249411764706,205.558981895447,0.025000000372529,-0.00448040593286495,-474.873579714008,0.379596624725069,957714.43851423,9.24849613820474,21
"2","Abigail2001_2001054S15155_2001022406",143,2001,145.445580220796,-16.4956037525658,"SP","AUS","Oceania",0.0306341421303922,-0.201779860864296,0.232414002994688,3,0.969365857869608,3,-0.0672599536214319,1,0.15967176513398,"Y",120.38,-9377.91004667348,0,14.9249411764706,192.602681246329,0.025000000372529,-0.000901723334885887,-923.087227032651,0.303802119610514,956699.035390234,6.72785134887695,21
"3","Abigail2001_2001054S15155_2001022406",146,2001,145.710583229574,-16.8189974012129,"SP","AUS","Oceania",-0.152048333034729,-0.538210304124458,0.386161971089729,3,1,3,-0.179403434708153,1,0.354486582996522,"Y",120.38,-48516.797232431,0,14.9249411764706,182.904733181,0.025000000372529,-0.0010478534378104,-1035.24980890525,0.387926794259937,1910169.48570299,9.36822136607739,21
"4","Abigail2001_2001054S15155_2001022406",147,2001,145.733041111676,-16.8369635606025,"SP","AUS","Oceania",-0.131721942747853,-0.415045112697786,0.283323169949933,3,1,3,-0.138348370899262,1,0.333381030588013,"Y",120.38,-51635.0080424166,0,14.9249411764706,182.904733181,0.025000000372529,-0.00184642188961646,-468.446039329374,0.34568785885813,954994.162669433,11.5084085074338,21
"5","Abigail2001_2001054S15155_2001022406",149,2001,145.759990570208,-16.9537445476391,"SP","AUS","Oceania",-0.168402523474606,-0.562471314948791,0.394068791474185,3,1,3,-0.187490438316264,1,0.439135957627185,"Y",120.38,-62813.8432365468,1,14.9249411764706,188.500358750501,0.025000000372529,-0.00194180444024563,-1160.75825780687,0.418776911354929,954403.131585683,11.5172936371931,21
"6","Abigail2001_2001054S15155_2001022406",150,2001,145.75999057021,-16.9717108532496,"SP","AUS","Oceania",-0.00302449399648608,-0.350688824451057,0.347664330454571,3,1,3,-0.116896274817019,1,0.346336703377974,"Y",120.38,-64316.6161910448,1,14.9249411764706,193.870553016663,0.025000000372529,-0.00220956353344257,-468.115513061409,0.468684738549286,954311.851750291,12.2845241892056,21
"7","Abigail2001_2001054S15155_2001022406",154,2001,145.782448452318,-16.9627278478589,"SP","AUS","Oceania",0.0346059264283253,-0.296955390209207,0.331561316637532,4,0.965394073571675,3,-0.0989851300697356,2,0.156009689123092,"Y",120.38,-65164.4708867279,1,14.9249411764706,193.870553016663,0.025000000372529,-0.00213714596949891,-69.5040570394294,0.40901906707636,1908715.01552234,8.862590699861,21
"8","Abigail2001_2001054S15155_2001022406",157,2001,145.803623079465,-16.9768430195459,"SP","AUS","Oceania",-0.0396692829204968,-0.272085735524374,0.232416452603877,3,1,3,-0.0906952451747913,1,0.208249446391688,"Y",120.38,-67852.4621760943,1,14.9249411764706,190.4865982239,0.0285614139065606,-0.00269617866004963,-69.4930683965007,0.436006465156415,6680000.07412303,8.47775436774474,21
"9","Adrian2005_2005138N10265_2005052006",8,2005,-88.8619953361454,13.2835479408423,"EP","SLV","North America",0.0866311727264666,-0.0743907751737754,0.161021947900242,1,0.913368827273533,1,-0.0743907751737754,1,0.392772189816762,"Y",81.488,-74592.3816614384,0,11.4824,93.6332559585571,0,-0.00117005743580007,-481.26021393994,0.360259722222222,971070.217337681,14.3414820974523,1
"10","Adrian2005_2005138N10265_2005052006",27,2005,-88.4757197639454,13.256598482317,"EP","SLV","North America",-0.0147303882258616,-0.143371833198689,0.128641444972827,4,1,4,-0.0358429582996721,1,0.129886323081697,"Y",81.488,-62016.2133194953,0,11.4824,121.568243026733,0,-0.00210942384993301,-476.27326436026,0.423708066239316,971177.942443395,11.2605830740741,1
"11","Adrian2005_2005138N10265_2005052006",30,2005,-88.4577534582952,13.2476153294519,"EP","SLV","North America",-0.00074719297512682,-0.140339082064613,0.139591889089486,4,1,4,-0.0350847705161532,1,0.281391318587036,"Y",81.488,-61132.2765743461,0,11.4824,115.647919587263,0,-0.00195045830538788,-69.4524397943472,0.433592689255189,971213.803066373,8.65377422222875,1
"12","Adrian2005_2005138N10265_2005052006",52,2005,-87.6852023139202,13.3958372675792,"EP","HND","North America",0.138239953082305,0,0.138239953082305,0,0.861760046917695,0,NA,1,0.164691789885135,"Y",81.488,-14106.1171158917,0,11.4824,150.183851437306,0,-0.00180275071173664,-1038.32516198957,0.424826350390148,1941238.09511373,10.5701890235811,2
