landing,roiID,basin,ISO3,continent,initialDamage,subsequentDamage,initialResistance,reactRate,recoverRate,fullRecovery,lon,lat,preEVI,patchSize,coastDistM,speed,trackDist,localWind,bathymetry_mean,alphaDiversity_mean,canopyHeight_mean,stormFreq_mean,totalPrec_value,diversity
Abigail2001_2001054S15155_2001022406,149,SP,AUS,Oceania,-0.079138759,-0.344639227,1.079138759,-0.114879742,0.221057395,Y,145.4860042,-16.54501104,0.341179058,1912908.75,172.4025093,14.92494118,12766.11661,0,0.001518096,21,9.811023622,0.025,706.7053046,21
Adrian2005_2005138N10265_2005052006,33,EP,HND,North America,0.183154517,0,0.816845483,NA,0.412172293,Y,-87.48308138,13.37337959,0.290522905,1941419.174,988.4321387,11.4824,9472.739025,9.524107255,-8.71E-05,2,9.192534381,0,365.2047352,2
Adrian2005_2005138N10265_2005052006,38,EP,HND,North America,0.116743038,0,0.883256962,NA,0.18956764,Y,-87.44939434,13.30263636,0.247769856,7767967.042,1040.876812,11.4824,12086.94728,20.97076509,-0.000648659,2,3.585665194,0,1476.559271,2
Adrian2005_2005138N10265_2005052006,40,EP,NIC,North America,0.162097204,0,0.837902796,NA,0.123447626,Y,-87.45613192,12.92422194,0.213759559,1944977.767,1155.510739,11.4824,44644.79038,21.58194567,-4.63E-05,1,8.833005894,0,374.6095372,1
Adrian2005_2005138N10265_2005052006,45,EP,HND,North America,0.140054112,0,0.859945888,NA,0.20573797,Y,-87.42918229,13.32397208,0.238943975,1941816.448,2044.714027,11.4824,9034.293064,20.81848136,-0.00023748,2,8.868110236,0,358.4415977,2
Adrian2005_2005138N10265_2005052006,56,EP,HND,North America,0.32836251,0,0.67163749,NA,0.152800078,Y,-87.36180881,13.07693543,0.214672394,971890.6178,18.97332787,11.4824,35819.87922,20.83969251,0.000483336,2,0.602362205,0,176.068678,2
Adrian2005_2005138N10265_2005052006,57,EP,NIC,North America,0.201742545,0,0.798257455,NA,0.173395797,Y,-87.34833424,12.94667967,0.258605629,1944802.658,165.5148007,11.4824,47868.11623,20.89191235,-0.000552952,1,9.923379175,0,335.9948221,1
Adrian2005_2005138N10265_2005052006,58,EP,NIC,North America,0.160123697,0,0.839876303,NA,0.096865077,Y,-87.34833408,12.90625564,0.178310148,1945117.626,538.9483639,11.4824,51630.52025,20.92096976,-0.00121131,1,6.092337917,0,339.5163463,1
Adrian2005_2005138N10265_2005052006,60,EP,NIC,North America,0.093598202,-0.109913863,0.906401798,-0.054956932,0.154978005,Y,-87.3258762,12.90625552,0.156447655,972558.808,1545.772445,11.4824,52957.693,20.79257726,-0.00142397,1,8.086614173,0,170.4262661,1
Adrian2005_2005138N10265_2005052006,74,EP,NIC,North America,0.21221784,0,0.78778216,NA,0.043931887,Y,-87.28096044,12.91523867,0.186283229,972523.8552,161.0695626,11.4824,55054.46819,20.53785206,-0.001626252,1,9.248031496,0,150.203043,1
Adrian2005_2005138N10265_2005052006,78,EP,HND,North America,0.277802548,0,0.722197452,NA,0.246946759,Y,-87.2683841,13.12364746,0.146709789,4858514.298,9864.382772,11.4824,33908.03796,20.28390196,0.000411258,2,10.0785546,0,788.0325366,2
Adrian2005_2005138N10265_2005052006,79,EP,HND,North America,0.170478358,0,0.829521642,NA,0.217087024,Y,-87.25529414,13.03586942,0.223436816,6804365.146,5971.643833,11.4824,43462.52521,20.30795968,0.000807031,2,10.59113853,0,1102.67486,2
Adrian2005_2005138N10265_2005052006,80,EP,NIC,North America,0.199184613,0,0.800815387,NA,0.227579453,Y,-87.26074823,12.96689166,0.236424455,3889272.964,5113.041728,11.4824,50520.55143,20.39413688,1.3910121797564e-05,1,10.31827112,0,604.3479215,1
Adrian2005_2005138N10265_2005052006,85,EP,HND,North America,0.227333136,0,0.772666864,NA,0.149890778,Y,-87.21807837,13.06795227,0.205404269,971926.0008,10712.4629,11.4824,41891.72958,20.08842295,0.000807031,2,10.7519685,0,157.6248977,2
Adrian2005_2005138N10265_2005052006,86,EP,HND,North America,0.375875698,0,0.624124302,NA,0.104428388,Y,-87.22406707,13.0439972,0.141466044,2916043.962,9973.712054,11.4824,43977.68058,20.14076101,0.000807031,2,11.12581913,0,495.8076593,2
Adrian2005_2005138N10265_2005052006,87,EP,NIC,North America,0.20993641,0,0.79006359,NA,0.118239972,Y,-87.22905763,12.96414671,0.249328969,8751014.799,7983.61507,11.4824,51936.18805,20.23062296,-0.00162742,1,11.00479721,0,1372.318134,1
Adrian2005_2005138N10265_2005052006,93,EP,NIC,North America,0.195107866,0,0.804892134,NA,0.219348856,Y,-87.19112891,12.92422183,0.294070133,972488.8785,9245.394634,11.4824,57599.5957,20.06294128,-0.00162742,1,12.33070866,0,144.4025772,1
Agatha2010_2010149N13266_2010052918,0,EP,MEX,North America,0.159644804,0,0.840355196,NA,0.011552633,Y,-92.67983529,15.01729644,0.513423364,963689.5064,1908.541813,14.0752,92842.42832,53.32542082,0.000530414,5,13.6023622,0,228.6509393,5
Agatha2010_2010149N13266_2010052918,3,EP,MEX,North America,0.238562051,0,0.761437949,NA,0.315224509,Y,-92.64839332,14.94992254,0.45719466,3855971.322,632.7151549,14.0752,85059.05366,54.90924513,0.00122755,5,8.329724409,0,863.9479717,5
Alberto2018_2018146N19273_2018052612,2,NAt,CUB,North America,0.028954419,-0.086054252,0.971045581,-0.01721085,0.150032423,Y,-84.87796677,21.87593356,0.429820467,1851838.558,1103.256388,25.928,91584.93093,70.00357944,0.001124106,3,8.021653543,0.050000001,486.3588962,3
Alberto2018_2018146N19273_2018052612,15,NAt,CUB,North America,-0.025126824,-0.284060507,1.025126824,-0.094686836,0.327188865,Y,-84.39736837,22.31610798,0.301360618,1846071.794,4.028490122,25.928,98090.04985,69.95621543,0.000312333,3,5.52848723,0.050000001,190.2573284,3
Alessia2013_2013324S11113_2013112306,6,SI,AUS,Oceania,0.158480085,0,0.841519915,NA,0.249279934,Y,124.8831434,-15.2110129,0.248648091,962809.9071,233.126671,21.6684,74964.88799,63.96866468,-0.000667303,21,7.051181102,0.300000012,60.68058895,21
