"landing","trackDist","coastDist","category","side","mangrovePxl","ID","stormName","stormYear","intensity","basin","preEVI","bathymetry_mean","center_centerLon","center_centerLat","totalPrec_total","elevation_mean","stormFrequency_mean","landingYear","landingMonth","landingDay","landingDOY","landingLat","landingLon","landingWindMax","landingSpeed","landingSpeed0","landingPressure","landingWindMaxRMW","landingCat","landingWindMaxLocal","landingWindMaxLocal2","ISO3Fixed","incomeFixed","continent","country","ISO3","income","region"
"Alex2010_2010176N16278_2010062700",10,5,"c2","wl",17,"2010176N16278","Alex",2010,0.191269706428793,"NAt",0.279205636490253,0.000502364217252396,-88.2601240959248,17.4023228285554,522.457782876258,0.662733529990167,0.16666667163372,2010,6,27,178,17.5,-88.2,89.6368,18.4268240638962,18.52,995,15,"TC",74.6432180916645,65.4298060597164,1,1,"North America","Belize","BLZ","UMC","Central America"
"Alex2010_2010176N16278_2010062700",15,10,"c2","wl",17,"2010176N16278","Alex",2010,0.178429175428707,"NAt",0.208387031214954,-8.42809364548495e-05,-87.914270614122,17.244220367717,723.687336166232,0.831107619795758,0.309523820877075,2010,6,27,178,17.5,-88.2,89.6368,18.4268240638962,18.52,995,15,"TC",88.7113590736017,79.4979470416536,1,1,"North America","Belize","BLZ","UMC","Central America"
"Alex2010_2010176N16278_2010062700",15,5,"c2","wl",17,"2010176N16278","Alex",2010,0.214821305062376,"NAt",0.287491993201028,-8.42809364548495e-05,-88.2735988250215,17.3753736614327,303.426137939154,1.61493123772102,0.16666667163372,2010,6,27,178,17.5,-88.2,89.6368,18.4268240638962,18.52,995,15,"TC",88.7113590736017,79.4979470416536,1,1,"North America","Belize","BLZ","UMC","Central America"
"Alex2010_2010176N16278_2010062700",20,5,"c2","wl",17,"2010176N16278","Alex",2010,0.307912293783898,"NAt",0.30318591747067,0.000152747487705794,-88.2735988250246,17.3214747457781,284.919529335172,0,0.16666667163372,2010,6,27,178,17.5,-88.2,89.6368,18.4268240638962,18.52,995,15,"TC",89.0498753380031,79.836463306055,1,1,"North America","Belize","BLZ","UMC","Central America"
"Alex2010_2010176N16278_2010062700",25,5,"c2","wl",17,"2010176N16278","Alex",2010,0.440865818800035,"NAt",0.332563830143796,0.000802220680083276,-88.2915651307104,17.2585931150633,134.19510716644,0,0.16666667163372,2010,6,27,178,17.5,-88.2,89.6368,18.4268240638962,18.52,995,15,"TC",85.9752982106758,76.7618861787277,1,1,"North America","Belize","BLZ","UMC","Central America"
"Alex2010_2010176N16278_2010062700",30,5,"c2","wl",17,"2010176N16278","Alex",2010,0.260534106788455,"NAt",0.136541386709244,0.000668122866894198,-88.3245022811561,17.2406272831976,882.977384757996,0.312581913499345,0.16666667163372,2010,6,27,178,17.5,-88.2,89.6368,18.4268240638962,18.52,995,15,"TC",82.1471020280122,72.9336899960641,1,1,"North America","Belize","BLZ","UMC","Central America"
"Alex2010_2010176N16278_2010062700",35,5,"c2","wl",17,"2010176N16278","Alex",2010,0.240920820481242,"NAt",0.256866641745316,0.000310369181380417,-88.3185084890579,17.1837324151401,927.017204168731,1.81192660550459,0.16666667163372,2010,6,27,178,17.5,-88.2,89.6368,18.4268240638962,18.52,995,15,"TC",78.3456602049393,69.1322481729912,1,1,"North America","Belize","BLZ","UMC","Central America"
"Alex2010_2010176N16278_2010062700",40,5,"c2","wl",17,"2010176N16278","Alex",2010,0.1520246822682,"NAt",0.311547940302218,0.000784288990825688,-88.2975527412827,17.1328279935665,503.695559239855,1.02887139107612,0.16666667163372,2010,6,27,178,17.5,-88.2,89.6368,18.4268240638962,18.52,995,15,"TC",74.8032346883246,65.5898226563765,1,1,"North America","Belize","BLZ","UMC","Central America"
"Alex2010_2010176N16278_2010062700",45,5,"c2","wl",17,"2010176N16278","Alex",2010,0.299246868650646,"NAt",0.19102038173812,0.000503072983354673,-88.2735988250193,17.0789300580457,174.795178020702,0.228346456692913,0.16666667163372,2010,6,27,178,17.5,-88.2,89.6368,18.4268240638962,18.52,995,15,"TC",71.5730799507365,62.3596679187884,1,1,"North America","Belize","BLZ","UMC","Central America"
"Alex2010_2010176N16278_2010062700",50,5,"c2","wl",17,"2010176N16278","Alex",2010,0.266384158772399,"NAt",0.394238371792686,0.000418098159509203,-88.2466485044459,17.0160477541076,319.036148557476,1.76377952755906,0.154691743915114,2010,6,27,178,17.5,-88.2,89.6368,18.4268240638962,18.52,995,15,"TC",68.6475219801506,59.4341099482025,1,1,"North America","Belize","BLZ","UMC","Central America"
